nom;mag;const;id;ra_h;ra_min;ra_sec;ra;dec;x;y
Altair;0.76;Aql;HR7557;19;50;46;19.846111;8.868333;2.386;4.549
Vega;0.03;Lyr;HR7001;18;36;56;18.615556;38.783611;0.461;2.839
Deneb;1.25;Cyg;HR7924;20;41;25;20.690278;45.280278;1.598;1.882
Antares;1.09;Sco;HR6134;16;29;24;16.490000;-26.431944;-3.672;8.786
Spica;0.97;Vir;HR5056;13;25;11;13.419722;-11.161389;-6.765;2.634
Denebola;2.14;Leo;HR4534;11;49;3;11.817500;14.572222;-4.663;-0.223
Regulus;1.35;Leo;HR3982;10;8;22;10.139444;11.967222;-4.294;-2.2767
Castor;1.58;Gem;HR2891;7;34;36;7.576667;31.888611;-1.337;-3.053
Capella;0.08;Aur;HR1708;5;16;41;5.278056;45.998056;0.457;-2.4036
Algol;2.12;Per;HR936;3;8;11;3.136389;40.955000;1.865;-2.0029
Procyon;0.4;CMi;HR2943;7;39;18;7.655000;5.225000;-2.297;-4.971
Sirius;-1.46;CMa;HR2491;6;45;9;6.752500;-16.716111;-1.535;-7.709
Rigel;0.18;Ori;HR1713;5;14;32;5.242222;-8.201667;1.358;-6.742
Aldebaran;0.87;Tau;HR1457;4;35;55;4.598611;16.509167;1.618;-4.178
Mirfak;1.79;Per;HR1017;3;24;19;3.405278;49.861111;1.377;-1.705
Alphard;2.0;Hya;HR3482;9;27;35;9.459722;-8.658611;3.526;-0.128
Betelgeuse;0.45;Ori;HR2061;5;55;10;5.919444;7.407056;0.113;-5.269
Arcturus;-0.05;Boo;HR5340;19;11;3;-4.123;6.207;-3.5399;2.378
Polaris;1.97;UMi;HR11767;0;0;0;2.529750;89.264109;0;0
Gemma;0.41;CrB;HR5793;0;0;0;15.578128;26.714693;-2.19;2.978
Alkaid;1.85;UMa;HR5191;0;0;0;13.792354;49.313265;–1.9842;1.006
Navi;2.15;Cas;HR264;0;0;0;0.945143;60.71674;
